"","GeneId","X0h","X1h","X2h","X4h","X6h","X8h","X12h","X18h","X24h","X30h","X44h","MFfc","Cluster","TranscriptLength"
"4688","PBANKA_1432000.1","0.064450034","0.128350598","0.019935266","0.206052273","-0.33011313","-0.137218049","-0.567986641","0.227083999","0.342397016","0.252837732","0.03438379","0.247157182840756","28",423
"4689","PBANKA_1432100.1","0.166785753","0.009545601","0.005903436","0.077981311","0.03594663","-0.013239878","-0.176267658","-0.609923702","-0.669640224","-0.563469047","-0.7975636","1.52673380895875","34",2199
"4690","PBANKA_1432200.1","-0.292992825","-0.00026234","0.125349514","-0.069801388","1.178734531","1.849257347","3.137680966","7.264460034","9.846362063","9.909660197","8.647522315","1.01998946097829","56",645
"4691","PBANKA_1432400.1","-0.458147169","0.015702338","0.165393673","0.071424244","1.923624646","2.626818753","2.958677604","6.597919521","8.509234443","8.760390254","8.68697559","2.26263767965754","56",3000
"4692","PBANKA_1432500.1","0.061341171","0.038043471","-0.052832576","-0.09378512","-0.443987334","-0.033301172","0.075735543","-0.694337878","-1.803086764","-2.914388685","-2.140281058","0.519377949218071","17",2589
"4693","PBANKA_1432600.1","0.236145355","-0.086285878","0.050882653","0.120873299","0.256178177","-0.327069554","-0.282310676","-0.316489804","0.361982419","0.949725434","0.593637455","-1.29864989798444","19",423
"4694","PBANKA_1432700.1","-0.012296702","0.028892089","-0.013603542","-0.127837924","-0.216539365","0.383358651","0.210550406","1.305116331","2.300198638","3.744885355","2.309770608","-2.07954781515453","21",987
"4695","PBANKA_1432800.1","0.04661462","0.091216471","0.16747335","-0.055779618","-0.207070224","0.202721263","0.309038033","-0.484659729","-1.791011383","-2.732247718","-1.840033859","-0.175933598282323","17",2994
"4696","PBANKA_1432900.1","0.208428736","-0.012065483","-0.012398731","0.056042978","0.072545558","0.064981077","0.390958809","0.277864402","0.290728367","0.151262621","0.829206772","-2.40248975389684","19",2568
"4697","PBANKA_1433000.1","-0.135305933","-0.009434396","0.001843836","0.092851123","0.087832948","-0.030709458","-0.26987648","1.396780687","1.896273299","2.793489784","1.928246462","0.869734748566925","38",2460
"4698","PBANKA_1433100.1","0.077512244","0.066272793","0.021659604","0.164254345","-0.282056761","-0.170619374","-0.666115554","-0.271122656","-0.573480113","-0.564652237","-1.156879334","0.912884079625678","27",636
"4699","PBANKA_1433200.1","0.027750733","0.077525207","-0.067174426","0.053821622","-0.297082982","0.566133973","-0.31409779","1.306743975","4.726251419","4.086202102","3.637153648","1.75289996182556","39",687
"4700","PBANKA_1433300.1","0.047172599","0.071588207","0.067402112","0.033335236","-0.18147558","0.05965271","0.169586331","-0.343783273","-0.980401758","-1.370028304","-0.865193571","-1.91293986590915","1",1347
"4701","PBANKA_1433400.1","0.040221974","0.058651375","0.006111234","-0.055421028","-0.33547621","-0.091338549","0.493036395","-0.104500565","-0.680902236","-1.216904094","-0.556368001","-1.78746173218039","1",243
