"","interpro","Domain"
"798","IPR000418","PS00345"
"799","IPR000418","PS00346"
"800","IPR000418","PS50061"
"801","IPR000418","SM00413"
"802","IPR000420","PF00399"
"803","IPR000420","PS00929"
"804","IPR000420","PS50256"
"805","IPR000421","PF00754"
"806","IPR000421","PS01285"
"807","IPR000421","PS01286"
"808","IPR000421","PS50022"
"809","IPR000421","SM00231"
"810","IPR000422","PF00926"
"811","IPR000422","TIGR00506"
"812","IPR000422","MF_00180"
"813","IPR000424","PF00436"
"814","IPR000424","PS50935"
"815","IPR000425","PF00230"
"816","IPR000425","PR00783"
"817","IPR000425","TIGR00861"
"818","IPR000425","cd00333"
"819","IPR000426","PF10584"
"820","IPR000426","PS00388"
"821","IPR000426","SM00948"
"822","IPR000427","PF00511"
"823","IPR000427","PD000672"
"824","IPR000427","SSF54957"
"825","IPR000428","PR00944"
"826","IPR000429","PF00713"
"827","IPR000429","PIRSF001640"
"828","IPR000429","PR00777"
"829","IPR000429","PD004216"
"830","IPR000431","PTHR24247:SF151"
"831","IPR000431","PR00519"
"832","IPR000432","PF00488"
"833","IPR000432","PS00486"
"834","IPR000432","SM00534"
"835","IPR000433","PF00569"
"836","IPR000433","PS01357"
"837","IPR000433","PS50135"
"838","IPR000433","SM00291"
"839","IPR000434","PR00500"
"840","IPR000435","PTHR19960"
"841","IPR000435","PR00511"
"842","IPR000436","PF00084"
"843","IPR000436","PS50923"
"844","IPR000436","SM00032"
"845","IPR000436","SSF57535"
"846","IPR000436","cd00033"
"847","IPR000438","PR01070"
"848","IPR000438","TIGR00515"
"849","IPR000438","MF_01395"
"850","IPR000439","PTHR11847"
"851","IPR000439","PF00827"
"852","IPR000439","SM01384"
"853","IPR000440","PTHR11058"
"854","IPR000440","PF00507"
"855","IPR000443","PTHR10505:SF19"
"856","IPR000443","PR00818"
"857","IPR000445","PF00633"
"858","IPR000447","PTHR11985"
"859","IPR000447","PR01001"
"860","IPR000447","PS00977"
"861","IPR000447","PS00978"
"862","IPR000448","PF00945"
"863","IPR000448","PD002087"
"864","IPR000448","SSF140809"
"865","IPR000450","PTHR24247:SF156"
"866","IPR000451","PTHR24169"
"867","IPR000451","PR00057"
"868","IPR000452","PR00532"
"869","IPR000453","PTHR21085"
"870","IPR000453","PF01264"
"871","IPR000453","PIRSF001456"
"872","IPR000453","TIGR00033"
"873","IPR000453","G3DSA:3.60.150.10"
"874","IPR000453","SSF103263"
"875","IPR000453","MF_00300"
"876","IPR000453","cd07304"
"877","IPR000454","PTHR10031"
"878","IPR000454","PR00124"
"879","IPR000454","MF_01396"
