	identity_updated	genetic_background	Genotypes	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	umap1	umap2
SC22530_1_298	GCSKO-2	PBANKA	md3 PBANKA_0102400	1692	7.4342573821331355	9172.585	9.1240835	-3.116094	7.353066
SC22530_1_299	GCSKO-2	PBANKA	md3 PBANKA_0102400	630	6.447305862541213	3441.9539	8.144085	10.369122	-5.2045217
SC22530_1_29	GCSKO-2	PBANKA	md3 PBANKA_0102400	1524	7.329749689041512	8352.012	9.030377	-3.0006156	7.3341165
SC22530_1_2	GCSKO-17	PBANKA	fd3   PBANKA_1418100	773	6.651571873589727	4376.131	8.384149	6.8774266	-7.677511
SC22530_1_300	GCSKO-2	PBANKA	md3 PBANKA_0102400	366	5.905361848054571	2157.387	7.6771164	2.8998623	5.3443255
SC22530_1_302	GCSKO-2	PBANKA	md3 PBANKA_0102400	1391	7.238496840894365	7388.8506	8.907863	-3.0904634	7.3027635
SC22530_1_305	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1274	7.150701457592526	6865.6704	8.8344345	4.6792235	1.9923187
SC22530_1_306	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2187	7.690743163541872	11037.586	9.309153	-1.0809754	1.914167
SC22530_1_307	GCSKO-17	PBANKA	fd3   PBANKA_1418100	966	6.874198495453294	4811.9087	8.479057	8.160402	2.3676152
SC22530_1_308	GCSKO-17	PBANKA	fd3   PBANKA_1418100	852	6.748759547491679	4522.2812	8.416993	10.098545	-6.4889526
SC22530_1_309	GCSKO-17	PBANKA	fd3   PBANKA_1418100	807	6.694562058521095	4210.2627	8.345518	9.595223	-6.769872
SC22530_1_30	GCSKO-2	PBANKA	md3 PBANKA_0102400	1637	7.401231264413015	8828.745	9.085881	-3.0426273	7.255011
SC22530_1_310	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1530	7.333676395657684	7359.1396	8.903834	4.4150853	1.6369029
SC22530_1_311	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2261	7.724004656676065	10070.553	9.21747	8.860134	18.875801
SC22530_1_312	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1099	7.003065458786462	5800.5386	8.665878	7.061548	2.5697708
SC22530_1_313	GCSKO-2	PBANKA	md3 PBANKA_0102400	1156	7.053585727193677	6394.206	8.763304	2.0253851	2.236115
SC22530_1_314	GCSKO-2	PBANKA	md3 PBANKA_0102400	594	6.38856140554563	3318.2698	8.1075	9.71988	-0.473495
SC22530_1_315	GCSKO-2	PBANKA	md3 PBANKA_0102400	1901	7.550661243105336	8690.148	9.070061	8.215332	11.476134
SC22530_1_318	GCSKO-2	PBANKA	md3 PBANKA_0102400	138	4.9344739331306915	967.264	6.875505	3.081307	6.475309
SC22530_1_31	GCSKO-2	PBANKA	md3 PBANKA_0102400	274	5.616771097666572	1882.7865	7.541039	3.2340343	-4.3453617
SC22530_1_321	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1022	6.930494765951626	5604.467	8.631497	-2.4212463	10.122683
SC22530_1_322	GCSKO-17	PBANKA	fd3   PBANKA_1418100	542	6.297109319933935	2859.811	7.9588604	9.873261	-2.1023319
SC22530_1_323	GCSKO-17	PBANKA	fd3   PBANKA_1418100	790	6.673297967767654	4188.5264	8.3403425	7.715995	-7.5678396
SC22530_1_324	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1547	7.344719054149673	7783.9707	8.95995	-2.0035136	13.366139
SC22530_1_325	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2543	7.841492924460013	11007.652	9.306437	8.839347	18.99024
SC22530_1_326	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1230	7.115582126184454	6392.2793	8.763002	-1.7504979	11.819608
SC22530_1_327	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2207	7.699842407396986	9590.217	9.168603	8.82123	18.951063
SC22530_1_328	GCSKO-17	PBANKA	fd3   PBANKA_1418100	916	6.821107472256465	4933.7446	8.504056	7.87994	2.3698416
SC22530_1_329	GCSKO-2	PBANKA	md3 PBANKA_0102400	1959	7.580699752224563	10149.23	9.225252	8.946139	12.88439
SC22530_1_330	GCSKO-2	PBANKA	md3 PBANKA_0102400	881	6.782192056006791	4609.926	8.436184	7.650424	2.382603
SC22530_1_331	GCSKO-2	PBANKA	md3 PBANKA_0102400	530	6.274762021241939	2882.1738	7.966647	10.291806	-3.748091
SC22530_1_334	GCSKO-2	PBANKA	md3 PBANKA_0102400	220	5.3981627015177525	951.0135	6.858579	3.962073	6.8555813
SC22530_1_338	WT	PBANKA	wild type	931	6.837332814685591	5220.794	8.560596	11.181431	-5.3195677
SC22530_1_339	WT	PBANKA	wild type	2342	7.759187438507795	10236.731	9.233835	9.506696	12.194124
SC22530_1_33	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1365	7.2196420401307355	7888.676	8.97331	-0.5155877	2.9327028
SC22530_1_340	WT	PBANKA	wild type	870	6.769641976852503	4460.748	8.4032955	5.403171	-7.6625085
SC22530_1_341	WT	PBANKA	wild type	1617	7.388946097618437	7530.324	8.9268265	3.6441512	1.5711501
SC22530_1_342	WT	PBANKA	wild type	1621	7.3914152346753585	7977.828	8.984547	2.5721664	1.2797784
SC22530_1_343	WT	PBANKA	wild type	1888	7.543802867501509	9138.984	9.120414	1.7763672	0.8143132
SC22530_1_344	WT	PBANKA	wild type	1890	7.544861068658458	9535.6875	9.162902	8.710398	11.767492
SC22530_1_346	WT	PBANKA	wild type	967	6.875232087276577	5272.7314	8.570494	7.739007	2.6114876
SC22530_1_350	WT	PBANKA	wild type	213	5.365976015021851	1580.1738	7.365923	2.8373032	5.436114
SC22530_1_354	WT	PBANKA	wild type	2041	7.621684998724611	10636.459	9.272137	1.913213	0.26423517
SC22530_1_355	WT	PBANKA	wild type	1943	7.572502985020384	9734.1	9.183494	2.0026906	0.5406518
SC22530_1_356	WT	PBANKA	wild type	809	6.697034247666484	4220.6475	8.3479805	10.995788	-5.6965885
